2004052843		IT-Markt und &ouml;konomischer Ausblick: Deutschland	Eine Analyse der IT-Ausgaben in Deutschland nach Unternehmensgr&ouml;&szlig;e und vertikalen M&auml;rkten.	z_20040529_01_fp.html	/regionalization/img/content/20040529_fp_homepage.jpg	Fri, 28 May 2004 16:30:22 GMT
2004052758		E-Government-Strategien beurteilen und verbessern	Wie Beh&ouml;rden ihr Online-Angebot in Qualit&auml;t und Niveau EU-tauglich machen k&ouml;nnen. 	z_20040518_01_fp.html	/regionalization/img/content/20040507_fp_homepage.jpg	Wed, 26 May 2004 12:51:20 GMT
2004042757	423691	Corporate Performance Management &mdash; integriertes Gesamtbild des Unternehmenserfolgs	Der Oberbegriff CPM umfasst die Prozesse, Methoden, Metriken und Technologien, mit denen Unternehmen die Leistung ihrer Organisation messen, überwachen und verwalten können.	/regionalization/code/document.jsp?resId=423691&ct=de&gen=y	/regionalization/img/content/20030815_fp_homepage.jpg	Tue, 27 Apr 2004 16:20:25 GMT
2004042755		EDGE-Technologie bereichert GSM-Netzwerke in Europa	Europäische Mobilfunkbetreiber nutzen die EDGE-Technologie, um unabhängig von UMTS mobile Hochgeschwindigkeits-Datendienste anzubieten.	z_20040416_01_fp.html	/regionalization/img/content/20040416_fp_homepage.jpg	Tue, 27 Apr 2004 16:20:25 GMT
2004020912	421998	Neun Trends bestimmen die Zukunft des CRM	Der Markt f&uuml;r Customer Relationship Management (CRM) wird in diesem Jahr in entscheidender Weise vom Streben der Unternehmen nach Kostensenkung profitieren.	/regionalization/code/document.jsp?resId=421998&amp;ct=de&amp;gen=y	/regionalization/img/content/20030808_fp_homepage.jpg
2004030911	407465	Linux wird erwachsen:  Wie Open-Source den Servermarkt ver&auml;ndert	In den Jahren 2003 bis 2008 werden Linux-Server die h&ouml;chsten Wachstumsraten unter den Serverplattformen erleben.	/regionalization/code/document.jsp?resId=407465&ct=de&gen=y	/regionalization/img/content/20031121_fp_homepage.jpg
2004020913		Eine solide Asset Management-Strategie tr&auml;gt zur Risikoreduzierung bei	Investitionen in die richtigen Prozesse und Tools senken die Kosten und Risiken aller Assets &uuml;ber deren gesamten Lebenszyklus.	z_20040213_01_fp.html	/regionalization/img/content/20040213_fp_homepage.jpg
2004020914		Push-to-Talk kommt nach Europa: Kein Grund f&uuml;r &uuml;bereilte Annahme	Der Annahme von PTT-Services in Europa stehen einige H&uuml;rden entgegen: Interoperabilit&auml;t, Kosten, Latenz, Servicequalit&auml;t sowie Ger&auml;teverf&uuml;gbarkeit.	z_20040206_01_fp.html	/regionalization/img/content/20040206_fp_homepage.jpg
2004033149	387582	Kostenkontrolle beim IT-Outsourcing	Laut der Gartner Measurement-Datenbank k&ouml;nnen die Kosten f&uuml;r ausgelagerte IT-Services erheblich h&ouml;her als die f&uuml;r intern bereitgestellte Dienste ausfallen.	/regionalization/code/document.jsp?resId=387582&amp;ct=de&amp;gen=y	/regionalization/img/content/20030711_fp_homepage.jpg	Wed, 31 Mar 2004 14:54:14 GMT
2004033146		Europ&auml;ische Provider bewerben sich um .mobile-Domain	Europäische Mobilfunkbetreiber wollen mobile Internetdienste mit Top-Level-Domain-Namen aufwerten.	z_20040326_01_fp.html	/regionalization/img/content/20040326_fp_homepage.jpg	Wed, 31 Mar 2004 14:54:14 GMT
2004033144		IT in Westeuropa: Kapitalfluss nach Osten	Die im Mai 2004 beitretenden EU-Mitgliedstaaten werden von einem erheblichen Kapitalfluss aus Westeuropa profitieren.	z_20040319_01_fp.html	/regionalization/img/content/20040319_fp_homepage.jpg	Wed, 31 Mar 2004 14:54:14 GMT
2004033142		Europ&auml;ische ISPs sollten sich auf Breitband mit h&ouml;heren Geschwindigkeiten einstellen	Bis 2005 m&uuml;ssen ISPs damit rechnen, dass kleine und mittelständische Unternehmen Breitbandverbindungen mit bis zu 8 Mbps fordern werden.	z_20040312_01_fp.html	/regionalization/img/content/20040312_fp_homepage.jpg	Wed, 31 Mar 2004 14:54:14 GMT
2004061441		Portale und Web-Services werden 2004 mehr gesch&auml;ftlichen Nutzen liefern 	2004 bringt Verbesserungen bei Portaltechnologien und -standards, aber technologiefremde Aspekte sind immer noch die gr&ouml;&szlig;te Herausforderung.	/regionalization/code/document.jsp?resId=414777&ct=de&gen=y	/regionalization/img/content/20040305_fp_homepage.jpg	Mon, 14 Jun 2004 16:09:16 GMT
2004061440		Konsolidierung kann Wachstum der AIM-M&auml;rkte nicht stoppen 	Anbieter-Konsolidierung und Wettbewerbsdruck im Anwendungsintegrations- und Middleware (AIM)-Markt werden zu einer Marktbereinigung und Preissteigerung führen.	/regionalization/code/document.jsp?resId=419297&ct=de&gen=y	/regionalization/img/content/20040514_fp_homepage.jpg	Mon, 14 Jun 2004 16:09:16 GMT
2004070656		Komplett-Outsourcing der HR-Funktion wird in Europa popul&auml;rer 	IT-Dienstleister, Buchhaltungs-Spezialisten und Offshore-Unternehmen richten ihr Angebot auf Full-Service HR BPO aus.	z_20040716_01_fp.html	/regionalization/img/content/20040716_fp_homepage.jpg	Fri, 06 Aug 2004 17:31:08 GMT
200406244		Kostensenkungs-Fokus gef&auml;hrdet Outsourcing-Anbieter	Europäische Unternehmen sollten einen strategischen Outsourcing-Ansatz priorisieren.	z_20040604_01_fp.html	/regionalization/img/content/20040604_fp_homepage.jpg	Mon, 19 Jul 2004 08:47:31 GMT
200407167		Den passenden Netzwerk-Serviceprovider finden: Globale vs. regionale Anbieter	Multinationale Unternehmen brauchen einen NSP, der Geschäfteinheiten in globalen Märkten miteinander verbindet.	/regionalization/code/document.jsp?resId=426209&ct=de&gen=y	/regionalization/img/content/20040715_fp_homepage.jpg	Mon, 19 Jul 2004 08:47:31 GMT
200409111		IT-Governance &ndash; heute wichtiger denn je	Wichtige Schritte und kritische Erfolgsfaktoren f&uuml;r den Aufbau eines effektiven IT-Governance-Prozesses	/regionalization/code/document.jsp?resId=416081&ct=de&gen=y	/regionalization/img/content/20041101_fp_homepage.jpg	Mon, 01 Nov 2004 12:52:12 GMT
200408065		IT-Sicherheits-Strategien	So behalten Sie die Gefahr durch softwareseitige Sicherheitsschwachstellen unter Kontrolle	/regionalization/code/document.jsp?resId=447365&ct=de&gen=y	/regionalization/img/content/20040825_fp_homepage.jpg	Mon, 06 Sep 2004 15:49:14 GMT
2004080619		Schwachstellen-Management	Die IT-Organisation muss mit Angriffen auf Windows-Sicherheitslücken anders umgehen	/regionalization/code/document.jsp?resId=450223&ct=de&gen=y	/regionalization/img/content/20040824_fp_homepage.jpg	Mon, 06 Sep 2004 15:49:14 GMT
20040709072		IT-Sicherheit hat hohe Priorit&auml;t bei europ&auml;ischen Unternehmen 	Die Nachfrage für Spam-Filterung, Intrusion Prevention, Schwachstellen-Management und Authentifizierung steigt.	z_20040709_01_fp.html	/regionalization/img/content/20040709_fp_homepage.jpg
2004071939		Entscheidungskriterien f&uuml;r das Outsourcing der Unternehmenskommunikation	Die Vor- und Nachteile der vollständigen Auslagerung von Sprach-, Daten- und Mobilkommunikation auf regionaler oder globaler Basis.  	/regionalization/code/document.jsp?resId=427411&ct=de&gen=y	/regionalization/img/content/20040714_fp_homepage.jpg	Mon, 19 Jul 2004 08:48:31 GM
20040930574	416081	IT-Leadership-Typologie	Unternehmenswachstum zwingt CIOs zur Neueinteilung ihrer Zeitbudgets	/regionalization/code/document.jsp?resId=452132&ct=de&gen=y	/regionalization/img/content/20040813_fp_homepage.jpg	Wed, 15 Sep 2004 09:26:50 GMT
2004101305	426830	IT-Zukunft richtig planen	So setzen Sie Gartner Szenarien zur Planung einer ungewissen Zukunft ein	/regionalization/code/document.jsp?resId=426830&ct=de&gen=y	/regionalization/img/content/20040820_fp_homepage.jpg	Fri, 15 Oct 2004 17:41:15 GMT
2004100305	453628	Festnetz und Mobilnetz verschmelzen	Connectivity bietet die nächste große Geschäftsmöglichkeit im Wireless-Bereich	/regionalization/code/document.jsp?resId=453628&amp;ct=de&amp;gen=y	/regionalization/img/content/20050128_fp_homepage.jpg	Tue, 01 Feb 2005 17:03:55 GMT
200411018		Was die IT-Zukunft bringt	Ein Artikel des Gartner-Analysten Nick Jones in der Computerwoche.	/regionalization/img/pdf/de/computerwoche_article200412.pdf	/regionalization/img/content/20041230_fp_homepage.jpg	Mon, 10 Jan 2005 15:38:04 GMT
2004123051		Outsourcing: Erfolg durch richtigen Fokus	Gartner-Beitrag in einer Beilage der Financial Times Deutschland.	z_20050106_01_fp.html	/regionalization/img/content/20050106_fp_homepage.jpg	Thu, 30 Dec 2004 14:09:40 GMT
